"id";"movement_speed";"displacement";"number_users";"is_hard_locked";"is_endpoint";"created_at";"active";"rack_id"
297;5.011;64.0;1;0;0;"2023-07-22 18:22:18.000000";1;115
298;4.98;59.02;1;0;0;"2023-07-22 18:22:19.000000";1;115
299;12.532;46.488;1;0;0;"2023-07-22 18:22:20.000000";1;115
300;15.005;31.483;1;0;0;"2023-07-22 18:22:21.000000";1;115
301;14.999;16.484;1;0;0;"2023-07-22 18:22:22.000000";1;115
302;15.002;1.482;1;0;0;"2023-07-22 18:22:23.000000";1;115
303;3.362;0.0;1;0;1;"2023-07-22 18:22:24.000000";1;115
304;0.0;0.0;1;0;1;"2023-07-22 18:22:25.000000";1;115
305;3.36;3.36;1;0;0;"2023-07-27 19:21:04.000000";1;20
306;13.01;16.37;1;0;0;"2023-07-27 19:21:05.000000";1;20
307;3.336;3.336;1;0;0;"2023-07-27 19:21:19.000000";1;20
308;13.011;16.347;1;0;0;"2023-07-27 19:21:20.000000";1;20
309;14.965;31.312;1;0;0;"2023-07-27 19:21:21.000000";1;20
310;15.038;46.349;1;0;0;"2023-07-27 19:21:22.000000";1;20
311;14.995;61.344;1;0;0;"2023-07-27 19:21:23.000000";1;20
312;3.334;3.334;1;0;0;"2023-07-27 19:22:21.000000";1;20
313;13.002;16.336;1;0;0;"2023-07-27 19:22:22.000000";1;20
314;15.001;31.337;1;0;0;"2023-07-27 19:22:23.000000";1;20
315;15.0;46.337;1;0;0;"2023-07-27 19:22:24.000000";1;20
316;15.011;61.348;1;0;0;"2023-07-27 19:22:25.000000";1;20
317;4.979;64.0;1;0;1;"2023-07-27 19:22:26.000000";1;20
318;0.0;64.0;1;0;1;"2023-07-27 19:22:27.000000";1;20
319;5.01;58.99;1;0;0;"2023-07-27 19:22:38.000000";1;20
320;12.482;46.508;1;0;0;"2023-07-27 19:22:39.000000";1;20
321;15.002;31.505;1;0;0;"2023-07-27 19:22:40.000000";1;20
322;0.0;0.0;1;0;1;"2023-07-27 19:22:51.000000";1;20
323;3.344;3.344;1;0;0;"2023-07-27 19:22:59.000000";1;20
324;12.969;16.313;1;0;0;"2023-07-27 19:23:00.000000";1;20
325;14.995;31.308;1;0;0;"2023-07-27 19:23:01.000000";1;20
326;15.002;46.31;1;0;0;"2023-07-27 19:23:02.000000";1;20
327;15.011;61.322;1;0;0;"2023-07-27 19:23:03.000000";1;20
328;5.002;64.0;1;0;1;"2023-07-27 19:23:04.000000";1;20
329;0.0;64.0;1;0;1;"2023-07-27 19:23:05.000000";1;20
330;5.0;59.0;1;0;0;"2023-07-27 19:23:08.000000";1;20
331;12.494;46.505;1;0;0;"2023-07-27 19:23:09.000000";1;20
332;14.955;31.55;1;0;0;"2023-07-27 19:23:10.000000";1;20
333;15.009;16.541;1;0;0;"2023-07-27 19:23:11.000000";1;20
334;0.0;0.0;1;0;1;"2023-07-27 19:23:26.000000";1;20
335;3.316;3.316;1;0;0;"2023-07-27 19:23:29.000000";1;20
336;13.002;16.319;1;0;0;"2023-07-27 19:23:30.000000";1;20
337;15.001;31.319;1;0;0;"2023-07-27 19:23:31.000000";1;20
338;15.001;46.32;1;0;0;"2023-07-27 19:23:32.000000";1;20
339;15.0;61.319;1;0;0;"2023-07-27 19:23:33.000000";1;20
340;4.958;64.0;1;0;1;"2023-07-27 19:23:34.000000";1;20
341;0.0;64.0;1;0;1;"2023-07-27 19:23:35.000000";1;20
342;4.979;59.021;1;0;0;"2023-07-27 19:23:38.000000";1;20
343;12.502;46.519;1;0;0;"2023-07-27 19:23:39.000000";1;20
344;15.011;31.508;1;0;0;"2023-07-27 19:23:40.000000";1;20
345;14.982;16.526;1;0;0;"2023-07-27 19:23:41.000000";1;20
346;3.334;3.334;1;0;0;"2023-07-27 19:24:34.000000";1;20
347;12.984;16.318;1;0;0;"2023-07-27 19:24:35.000000";1;20
348;15.001;31.318;1;0;0;"2023-07-27 19:24:36.000000";1;20
349;15.0;46.318;1;0;0;"2023-07-27 19:24:37.000000";1;20
350;15.01;61.328;1;0;0;"2023-07-27 19:24:38.000000";1;20
351;5.0;64.0;1;0;0;"2023-07-27 19:24:39.000000";1;20
352;5.03;58.97;1;0;0;"2023-07-27 19:24:40.000000";1;20
353;3.283;3.283;1;0;0;"2023-07-27 19:24:47.000000";1;20
354;13.003;16.285;1;0;0;"2023-07-27 19:24:48.000000";1;20
355;15.025;31.311;1;0;0;"2023-07-27 19:24:49.000000";1;20
356;15.032;46.342;1;0;0;"2023-07-27 19:24:50.000000";1;20
357;15.038;61.38;1;0;0;"2023-07-27 19:24:51.000000";1;20
358;5.016;64.0;1;0;0;"2023-07-27 19:24:52.000000";1;20
359;5.0;59.0;1;0;0;"2023-07-27 19:24:53.000000";1;20
360;3.334;3.334;1;0;0;"2023-07-27 19:53:41.000000";1;20
361;13.01;16.344;1;0;0;"2023-07-27 19:53:42.000000";1;20
362;14.982;31.326;1;0;0;"2023-07-27 19:53:43.000000";1;20
363;14.982;46.308;1;0;0;"2023-07-27 19:53:44.000000";1;20
364;3.336;3.336;1;0;0;"2023-07-27 20:20:17.000000";1;1
365;13.0;16.336;1;0;0;"2023-07-27 20:20:18.000000";1;1
366;15.001;31.336;1;0;0;"2023-07-27 20:20:19.000000";1;1
367;14.983;46.319;1;0;0;"2023-07-27 20:20:20.000000";1;1
368;3.362;3.362;1;0;0;"2023-07-27 20:20:37.000000";1;1
369;13.026;16.389;1;0;0;"2023-07-27 20:20:38.000000";1;1
